,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
feature_category_count_scaled,0.2096343273513242,0.16712734496910425,-0.05516186760509302,0.022831132192773135,0.05362145390385401,-0.12352345758177669,0.15107718914377516,-0.0649776584684977,-0.09789919965044773,-0.07818681587778287,-0.10173989446809181,0.02966976747773651,-0.03154712765919597,0.07097568828260557,0.028132387650664836,0.007457922136678094,-0.02654881733538745,0.0386588846747631,-0.07739417238289273,-0.05992713755984319,-0.02470894487885026,0.10037993931626868
top_feature_ratio_scaled,0.031610602630179105,-0.26276462766187686,-0.0328186382447507,-0.05853521356483847,-0.09663047083132804,0.22249343689075377,-0.16402785150562701,0.1102382835182113,-0.04576425222041872,0.016133135585897095,0.013968362561611167,-0.07095034305921313,0.03235923168634569,-0.030221300007846383,0.16756333595728193,-0.215604283623217,0.030941673065157212,-0.03179503840597424,0.19946519156096923,0.004551151062499441,-0.059882632381632016,-0.042005814365926084
node_ratio_scaled,-0.07970760545173115,0.27203135360138214,0.1775592884700517,0.10853900459454097,-0.1662053730574199,0.06194881782822125,-0.05968306122455087,0.1051346614528322,0.042734482582829206,0.008786428662552453,-0.227884129716534,0.009944471088871597,0.06807527075052146,-0.01644427779042454,-0.0171269609634685,0.10192726461528923,-0.15881304891448936,-0.06025562336455326,0.1057115464742831,0.04770557604627354,-0.1504960301789839,-0.02754590893987426
way_ratio_scaled,0.07872943636086939,-0.2705842716964386,-0.12824566302890744,-0.08276613408362328,0.22068150731036668,-0.014411747924355884,0.06336083819320301,-0.06125298936350959,-0.03564229454525189,-0.05421034237089458,0.3017421817649095,0.07916951131725258,-0.12215302286300234,0.07827142644283037,0.08638284113669221,-0.11110027941523105,0.16885361917433556,-0.02311847100072125,-0.07134129405616607,-0.03534410242631002,0.038434194155199275,0.0773520337400235
relation_ratio_scaled,0.004849795065081041,-0.01000203023910376,-0.1740350984767542,-0.09124506267609743,-0.18560667838802983,-0.16576174835827587,-0.011641541905800202,-0.15389505166735412,-0.02534490054546158,0.15714599436344046,-0.25159649090934716,-0.3087923534628992,0.18602732677165942,-0.2138114150253813,-0.23952527079854052,0.029897048925953452,-0.031857853885060634,0.28983759549287214,-0.1209667144051471,-0.04368411997869358,0.39084142117730025,-0.1719778352018866
geometry_tag_ratio_scaled,0.047204450488385875,-0.023319634379857818,-0.28616230850337904,-0.027109429760204213,-0.20851240585516098,-0.1787505543502058,0.034502852799191956,-0.27676105686987856,0.018724233147917466,0.23711917847932035,-0.0336858167156396,-0.03697656915107868,0.12871089505775474,-0.05098690946333432,-0.014443762396723335,-0.13817329761623776,-0.0834043203874178,0.06104367558976856,-0.027234862624740657,0.046148994711188655,-0.09106755842236516,0.14729648212696164
new_keys_ratio_scaled,-0.08252174246518498,0.12189158231930827,0.20817000234753075,0.10213647782106419,0.047213718787180003,-0.11161007668549998,-0.15119815005777876,0.16968924041960204,-0.2427852578213982,-0.15004554516923205,0.038243979966123325,-0.11718189150634616,0.06256560458755253,0.23178779324680773,-0.012981729507665601,0.19925911870083216,-0.10067154430959915,-0.011468759628593636,0.007728579936770068,-0.2012707917268882,0.18059699057696652,-0.2448607989645854
deleted_keys_ratio_scaled,-0.014835611986459074,0.061959832174398786,-0.12490131797737439,0.09353443457685368,-0.17124587748525605,-0.16471873958277683,0.15201602093645217,0.3181025075670439,0.39439791395838003,-0.22894775894838684,0.04860928839336958,0.002241304653888507,0.005825822657139039,0.02505806352350132,0.013584677136682561,-0.008011774314455218,0.08828275690769576,0.05851941439009965,-0.10436325556211966,-0.039005704927591506,0.005358406141820662,-0.038570325689022855
keys_per_changeset_ratio_scaled,0.15180433307909896,-0.03057803397737159,0.0030602197693346315,0.38755878281406453,0.013629791361972739,0.09652806346141936,0.121713825086143,0.17388372376599462,-0.08859513186004503,-0.024572130771932606,0.09558633636273,-0.2566175894149632,0.0028999154497281725,0.1293875877086261,-0.18154780421684155,0.028440357397795022,-0.11422751748594374,-0.05300619424576616,-0.010672163558071853,-0.19352499949920693,0.032196638943222215,-0.057865023926129106
edits_per_changeset_ratio_scaled,0.18660295983916553,-0.08931050690405785,-0.07040913593196901,0.31897828633377584,0.006009274118360783,0.17102174680896046,0.1590930655539034,0.039585984986525366,-0.030504031082345985,0.09727601608783472,0.05403006213818074,-0.20413902271524706,-0.03016020627842938,0.0048982281842626174,-0.16453242606810903,-0.04937686942178771,-0.07272336361577679,-0.06306849205496567,0.006257557037148606,-0.09144394661127558,-0.06376165008995843,0.07579472513387416
